v00417	5/14	44.20	Aliceevansviridae
v00418	10/69	34.28	Aliceevansviridae
v00427	5/8	63.66	Microviridae
v00432	24/235	38.91	Herelleviridae
v00441	15/213	41.42	Herelleviridae
v00445	19/239	39.02	Herelleviridae
v00448	8/36	52.24	Aliceevansviridae
v00450	10/54	40.40	Aliceevansviridae
v00461	17/180	43.38	Herelleviridae
v00466	12/48	38.02	Aliceevansviridae
v00482	11/111	38.55	Aliceevansviridae
v00489	10/50	40.10	Aliceevansviridae
v00491	35/51	72.95	Aliceevansviridae
v00495	13/56	45.29	Aliceevansviridae
v00497	11/52	41.11	Aliceevansviridae
v00499	28/52	92.39	Peduoviridae
v00502	18/56	48.78	Aliceevansviridae
v00505	2/4	34.90	Microviridae
v00514	12/120	41.43	Aliceevansviridae
v00515	11/57	39.88	Aliceevansviridae
v00517	11/58	42.43	Aliceevansviridae
v00525	11/84	39.13	Aliceevansviridae
v00526	36/50	94.98	Peduoviridae
v00527	20/58	54.41	Aliceevansviridae
v00534	5/24	37.08	Peduoviridae
v00540	38/42	89.10	Peduoviridae
v00541	10/30	47.27	Aliceevansviridae
v00549	4/20	38.65	Aliceevansviridae
v00555	28/57	60.60	Aliceevansviridae
v00556	22/225	41.84	Herelleviridae
v00560	5/17	45.10	Aliceevansviridae
v00561	5/18	43.98	Aliceevansviridae
v00562	21/57	53.82	Aliceevansviridae
v00572	10/50	44.26	Aliceevansviridae
v00573	16/226	41.14	Herelleviridae
v00574	8/39	43.15	Aliceevansviridae
v00592	10/59	40.32	Aliceevansviridae
v00597	10/52	45.14	Aliceevansviridae
v00598	20/63	50.15	Aliceevansviridae
v00599	29/55	62.92	Aliceevansviridae
v00600	19/52	55.03	Aliceevansviridae
v00601	38/52	71.75	Aliceevansviridae
v00611	17/162	41.95	Herelleviridae
v00616	19/54	44.13	Autographiviridae
v00617	42/45	97.63	Peduoviridae
v00619	23/31	65.47	Aliceevansviridae
v00621	10/27	62.69	Aliceevansviridae
v00622	35/56	63.65	Aliceevansviridae
v00624	5/18	39.72	Aliceevansviridae
v00625	10/44	39.99	Aliceevansviridae
v00626	7/33	42.54	Aliceevansviridae
v00627	37/63	61.37	Aliceevansviridae
v00646	7/9	67.77	Microviridae
v00648	31/35	95.58	Peduoviridae
v00651	11/49	47.05	Aliceevansviridae
v00653	35/41	95.20	Peduoviridae
v00656	15/220	40.43	Herelleviridae
v00657	9/44	41.63	Aliceevansviridae
v00661	4/16	39.17	Microviridae
v00664	5/9	43.42	Microviridae
v00665	11/57	69.10	Peduoviridae
v00667	21/24	61.09	Peduoviridae
v00668	25/29	73.95	Peduoviridae
v00677	13/217	40.32	Herelleviridae
v00683	4/4	81.67	Microviridae
v00692	6/8	88.20	Microviridae
v00696	10/65	39.91	Aliceevansviridae
v00698	7/8	93.74	Microviridae
v00700	4/17	46.35	Aliceevansviridae
v00718	7/29	43.34	Aliceevansviridae
v00723	35/50	77.53	Aliceevansviridae
v00724	10/80	40.51	Aliceevansviridae
v00728	10/43	49.37	Aliceevansviridae
v00730	4/6	70.65	Microviridae
v00731	5/18	39.12	Aliceevansviridae
v00732	22/27	71.82	Aliceevansviridae
v00734	4/8	45.05	Microviridae
v00735	11/50	41.46	Aliceevansviridae
v00736	14/58	36.02	Winoviridae
v00743	45/49	81.32	Aliceevansviridae
v00745	39/47	87.53	Peduoviridae
v00747	41/57	97.05	Peduoviridae
v00765	4/9	67.88	Microviridae
v00789	42/45	99.18	Peduoviridae
v00792	43/46	78.37	Peduoviridae
v00794	37/41	91.30	Peduoviridae
v00797	12/54	37.62	Winoviridae
v00803	5/8	68.96	Microviridae
v00810	8/31	49.29	Aliceevansviridae
v00811	11/61	36.17	Aliceevansviridae
v00812	29/46	51.18	Peduoviridae
v00815	20/192	36.23	Herelleviridae
v00819	17/241	42.76	Herelleviridae
v00828	10/58	42.85	Aliceevansviridae
v00833	17/186	39.78	Herelleviridae
v00839	6/27	40.15	Aliceevansviridae
v00840	41/50	88.02	Peduoviridae
v00841	36/40	95.31	Peduoviridae
v00854	32/34	92.54	Peduoviridae
v00858	40/42	98.52	Peduoviridae
v00877	10/49	41.29	Aliceevansviridae
v00886	7/17	46.19	Aliceevansviridae
v00898	12/57	40.83	Winoviridae
v00908	11/57	41.35	Aliceevansviridae
v00910	15/45	47.75	Autographiviridae
v00916	13/211	40.16	Herelleviridae
v00918	23/49	67.94	Aliceevansviridae
v00919	15/52	48.72	Autographiviridae
v00928	44/50	87.29	Peduoviridae
v00951	12/33	42.05	Autographiviridae
v00955	5/14	42.40	Aliceevansviridae
v00956	20/23	99.33	Peduoviridae
v00957	11/42	47.90	Aliceevansviridae
v00959	6/23	42.27	Aliceevansviridae
v00972	31/36	93.46	Peduoviridae
v00975	41/43	97.73	Peduoviridae
v00977	8/24	48.83	Aliceevansviridae
v00978	4/13	55.88	Peduoviridae
v00980	38/42	95.55	Peduoviridae
v00990	13/36	43.36	Aliceevansviridae
v00993	13/52	35.28	Aliceevansviridae
v01001	8/8	99.44	Inoviridae
v01010	13/248	44.69	Herelleviridae
v01023	5/15	49.66	Inoviridae
v01043	16/44	46.62	Autographiviridae
v01049	10/54	42.14	Aliceevansviridae
v01057	13/70	42.99	Aliceevansviridae
v01067	9/36	40.77	Aliceevansviridae
v01068	5/22	45.10	Aliceevansviridae
v01069	10/49	50.65	Aliceevansviridae
v01071	18/225	38.11	Herelleviridae
v01075	30/53	64.29	Aliceevansviridae
v01080	15/141	39.14	Aliceevansviridae
v01086	5/16	42.34	Aliceevansviridae
v01091	19/43	48.80	Aliceevansviridae
v01093	14/133	45.11	Drexlerviridae
v01096	30/35	94.76	Peduoviridae
v01100	24/306	40.83	Herelleviridae
v01109	46/51	96.72	Peduoviridae
v01113	10/62	41.14	Aliceevansviridae
v01123	11/77	41.39	Aliceevansviridae
v01124	10/304	34.06	Herelleviridae
v01129	8/34	41.50	Aliceevansviridae
v01135	10/83	39.09	Aliceevansviridae
v01141	10/112	46.89	Peduoviridae
v01152	39/41	95.56	Peduoviridae
v01155	10/46	34.61	Aliceevansviridae
v01161	20/52	48.95	Aliceevansviridae
v01165	12/54	47.42	Aliceevansviridae
v01166	39/50	97.66	Peduoviridae
v01172	24/55	64.09	Aliceevansviridae
v01178	8/39	46.59	Aliceevansviridae
v01198	39/45	96.57	Peduoviridae
v01200	14/26	83.70	Peduoviridae
v01204	21/53	56.10	Aliceevansviridae
v01208	29/61	53.71	Aliceevansviridae
v01209	50/63	69.15	Aliceevansviridae
v01221	26/316	36.99	Herelleviridae
v01226	8/31	54.23	Aliceevansviridae
v01239	16/80	41.46	Aliceevansviridae
v01251	11/54	38.65	Winoviridae
v01260	6/9	59.17	Microviridae
v01279	5/8	92.52	Inoviridae
v01292	7/10	82.46	Inoviridae
v01299	10/11	79.07	Inoviridae
v01302	7/10	87.79	Inoviridae
v01311	27/50	50.53	Peduoviridae
v01314	17/59	45.23	Aliceevansviridae
v01315	8/34	41.71	Aliceevansviridae
v01317	3/7	37.97	Microviridae
v01319	41/50	96.47	Peduoviridae
v01325	32/37	79.45	Peduoviridae
v01337	12/49	45.60	Aliceevansviridae
v01343	11/96	50.14	Suoliviridae
v01355	10/67	44.07	Aliceevansviridae
v01366	9/41	50.77	Aliceevansviridae
v01384	12/66	36.24	Winoviridae
v01391	39/50	73.45	Peduoviridae
v01393	11/41	42.37	Peduoviridae
v01394	12/49	37.38	Winoviridae
v01404	10/61	39.19	Aliceevansviridae
v01410	48/51	99.90	Peduoviridae
v01414	47/50	92.25	Peduoviridae
v01417	37/50	96.27	Peduoviridae
v01419	42/50	97.66	Peduoviridae
v01422	17/58	46.89	Aliceevansviridae
v01429	35/50	75.19	Peduoviridae
v01430	37/50	80.31	Peduoviridae
v01434	9/43	44.60	Drexlerviridae
v01436	36/56	73.84	Peduoviridae
v01443	12/65	36.82	Winoviridae
v01447	22/60	51.74	Aliceevansviridae
v01451	38/50	95.98	Peduoviridae
v01454	44/48	99.53	Peduoviridae
v01456	36/225	50.27	Steigviridae
v01459	12/109	43.20	Aliceevansviridae
v01464	13/51	36.49	Winoviridae
v01468	23/33	55.18	Peduoviridae
v01476	36/101	91.79	Peduoviridae
v01477	39/49	89.82	Peduoviridae
v01479	10/54	44.11	Aliceevansviridae
v01486	10/148	37.49	Herelleviridae
v01504	5/7	92.74	Inoviridae
v01516	3/13	45.83	Inoviridae
v01536	11/224	31.97	Herelleviridae
v01563	11/92	35.26	Casjensviridae
v01571	20/287	38.62	Herelleviridae
v01573	14/216	40.19	Herelleviridae
v01596	3/10	34.80	Microviridae
v01599	20/259	39.86	Herelleviridae
v01612	20/260	41.70	Herelleviridae
v01613	12/50	44.65	Autographiviridae
v01617	11/76	39.65	Peduoviridae
v01621	10/70	41.60	Winoviridae
v01633	10/50	43.08	Aliceevansviridae
v01640	12/128	36.92	Herelleviridae
v01643	19/48	44.63	Autographiviridae
v01661	10/166	38.79	Herelleviridae
v01667	22/43	56.22	Aliceevansviridae
v01693	10/80	43.47	Aliceevansviridae
v01728	10/51	35.42	Winoviridae
v01734	10/71	47.95	Aliceevansviridae
v01737	19/43	42.39	Autographiviridae
v01745	36/42	92.79	Peduoviridae
v01747	13/137	34.75	Aliceevansviridae
v01754	12/128	42.67	Herelleviridae
v01771	5/8	83.52	Microviridae
v01772	12/74	44.45	Aliceevansviridae
v01804	10/40	35.94	Peduoviridae
v01806	11/127	46.54	Aliceevansviridae
v01807	41/48	82.37	Peduoviridae
v01814	10/32	49.62	Aliceevansviridae
v01816	38/42	92.86	Peduoviridae
v01831	16/230	40.66	Herelleviridae
v01832	32/53	51.03	Peduoviridae
v01850	19/238	40.73	Herelleviridae
v01852	10/58	45.96	Aliceevansviridae
v01870	13/199	42.01	Herelleviridae
v01882	10/131	50.59	Suoliviridae
v01892	4/4	74.85	Microviridae
v01911	10/61	35.63	Aliceevansviridae
v01919	17/238	44.99	Herelleviridae
v01930	12/60	48.33	Aliceevansviridae
v01945	4/7	41.62	Microviridae
v01950	12/208	38.20	Herelleviridae
v01957	18/116	43.10	Aliceevansviridae
v01959	18/240	41.29	Herelleviridae
v01981	3/10	35.80	Microviridae
v01999	9/25	36.51	Peduoviridae
v02001	28/145	46.46	Schitoviridae
v02026	32/36	88.79	Peduoviridae
v02027	10/68	40.14	Aliceevansviridae
v02028	18/213	37.17	Herelleviridae
v02043	12/207	41.59	Herelleviridae
v02046	14/179	40.59	Herelleviridae
v02053	26/104	41.08	Aliceevansviridae
v02061	25/49	43.29	Peduoviridae
v02065	10/48	48.57	Aliceevansviridae
v02089	6/7	89.58	Inoviridae
v02116	13/49	37.25	Winoviridae
v02117	4/7	75.12	Microviridae
v02124	22/251	39.78	Herelleviridae
v02131	10/43	30.25	Winoviridae
v02145	4/6	91.17	Microviridae
v02156	4/8	37.85	Microviridae
v02171	11/66	36.25	Aliceevansviridae
v02176	10/60	39.34	Aliceevansviridae
v02181	10/73	38.06	Peduoviridae
v02187	3/15	41.37	Casjensviridae
v02190	10/50	48.21	Aliceevansviridae
v02193	38/41	82.48	Aliceevansviridae
v02202	6/27	41.35	Aliceevansviridae
v02211	13/19	82.58	Inoviridae
v02221	10/108	47.24	Steigviridae
v02222	9/43	47.18	Aliceevansviridae
v02223	13/56	41.20	Aliceevansviridae
v02225	17/230	42.25	Herelleviridae
v02232	11/47	40.11	Aliceevansviridae
v02244	21/205	42.66	Herelleviridae
v02247	3/7	32.40	Microviridae
v02263	13/130	31.41	Herelleviridae
v02266	10/56	49.29	Aliceevansviridae
v02269	5/17	44.68	Aliceevansviridae
v02270	33/38	79.16	Aliceevansviridae
v02271	18/272	42.36	Herelleviridae
v02275	14/53	42.49	Aliceevansviridae
v02276	6/7	57.60	Microviridae
v02281	9/45	35.36	Winoviridae
v02283	10/218	46.34	Suoliviridae
v02297	2/8	46.60	Inoviridae
v02315	35/40	91.29	Peduoviridae
v02321	11/97	45.29	Suoliviridae
v02325	10/34	32.01	Duneviridae
v02338	3/7	40.60	Microviridae
v02349	22/51	65.76	Aliceevansviridae
v02351	21/60	49.56	Aliceevansviridae
v02355	8/39	52.11	Aliceevansviridae
v02356	11/55	40.92	Aliceevansviridae
v02381	10/67	51.97	Aliceevansviridae
v02388	33/65	61.39	Aliceevansviridae
v02411	8/40	42.29	Aliceevansviridae
v02422	17/231	40.85	Herelleviridae
v02436	34/37	95.27	Peduoviridae
v02440	4/5	35.65	Microviridae
v02455	17/181	41.21	Herelleviridae
v02462	6/9	73.93	Inoviridae
v02475	19/398	36.75	Herelleviridae
v02478	2/6	32.40	Herelleviridae
v02502	10/235	32.59	Herelleviridae
v02504	12/250	36.27	Straboviridae
v02517	11/23	86.85	Inoviridae
v02525	7/10	94.89	Inoviridae
v02527	7/8	89.51	Inoviridae
v02559	10/46	44.33	Aliceevansviridae
v02573	41/42	90.18	Peduoviridae
v02579	11/178	38.33	Aliceevansviridae
v02592	11/59	39.97	Aliceevansviridae
v02600	10/57	46.21	Aliceevansviridae
v02614	10/87	34.45	Duneviridae
v02615	51/51	98.50	Peduoviridae
v02619	40/44	96.86	Peduoviridae
v02637	21/159	44.39	Herelleviridae
v02649	10/98	42.56	Aliceevansviridae
v02665	11/50	41.61	Winoviridae
v02672	14/125	41.01	Aliceevansviridae
v02705	3/10	34.67	Microviridae
v02708	3/4	33.30	Microviridae
v02719	17/229	40.81	Herelleviridae
v02725	7/34	47.96	Aliceevansviridae
v02726	20/53	46.76	Autographiviridae
v02728	10/47	36.81	Aliceevansviridae
v02731	11/58	45.56	Aliceevansviridae
v02737	7/30	40.53	Aliceevansviridae
v02750	17/133	44.61	Autographiviridae
v02755	12/50	39.44	Winoviridae
v02780	14/232	40.51	Herelleviridae
v02790	13/232	39.95	Herelleviridae
v02792	4/4	70.45	Microviridae
v02800	10/57	34.89	Peduoviridae
v02804	17/187	39.58	Herelleviridae
v02805	16/113	42.38	Aliceevansviridae
v02809	15/106	44.76	Peduoviridae
v02815	15/146	39.85	Herelleviridae
v02821	29/259	44.45	Straboviridae
v02824	35/38	94.04	Peduoviridae
v02831	40/50	73.85	Peduoviridae
v02832	9/45	39.28	Drexlerviridae
v02834	6/29	42.10	Drexlerviridae
v02837	3/13	33.50	Microviridae
v02843	8/12	84.17	Microviridae
v02857	11/60	40.65	Aliceevansviridae
v02864	17/209	40.36	Herelleviridae
v02865	7/34	31.76	Winoviridae
v02867	13/108	47.16	Aliceevansviridae
v02868	7/10	58.81	Microviridae
v02879	17/235	36.91	Herelleviridae
v02882	10/157	40.26	Herelleviridae
v02885	30/56	59.30	Aliceevansviridae
v02886	10/212	44.79	Steigviridae
v02909	14/205	40.01	Herelleviridae
v02914	40/101	94.12	Peduoviridae
v02928	38/40	98.39	Peduoviridae
v02941	40/130	90.39	Peduoviridae
v02957	11/42	42.43	Drexlerviridae
v02958	44/52	86.02	Peduoviridae
v02967	15/187	37.41	Herelleviridae
v02979	13/52	43.74	Peduoviridae
v02980	10/31	71.56	Aliceevansviridae
v02981	19/50	50.43	Aliceevansviridae
v02982	10/81	42.29	Straboviridae
v02985	4/16	51.75	Aliceevansviridae
v02986	41/47	82.41	Aliceevansviridae
v02989	13/50	43.24	Peduoviridae
v02991	35/40	76.41	Peduoviridae
v02992	34/38	92.37	Peduoviridae
v02993	12/52	45.30	Aliceevansviridae
v02994	32/51	54.91	Peduoviridae
v02995	25/26	78.06	Peduoviridae
v03012	27/53	60.97	Aliceevansviridae
v03016	11/50	41.39	Aliceevansviridae
v03035	5/7	54.76	Microviridae
v03051	11/142	41.85	Herelleviridae
v03058	4/6	45.20	Microviridae
v03060	7/8	56.99	Microviridae
v03082	29/36	92.99	Peduoviridae
v03098	10/45	41.39	Aliceevansviridae
v03107	13/41	37.68	Winoviridae
v03108	11/63	51.64	Aliceevansviridae
v03114	16/218	36.37	Herelleviridae
v03115	33/108	76.25	Peduoviridae
v03116	21/247	38.99	Herelleviridae
v03120	22/295	44.43	Herelleviridae
v03123	14/108	43.14	Herelleviridae
v03129	10/60	37.73	Aliceevansviridae
v03130	22/286	43.48	Herelleviridae
v03132	11/80	44.18	Aliceevansviridae
v03134	24/54	58.14	Aliceevansviridae
v03135	9/40	40.02	Aliceevansviridae
v03141	12/49	41.22	Aliceevansviridae
v03142	11/58	45.00	Aliceevansviridae
v03144	21/239	40.62	Herelleviridae
v03159	12/53	36.23	Winoviridae
v03177	12/73	44.04	Aliceevansviridae
v03179	7/14	92.21	Microviridae
v03180	37/38	92.71	Peduoviridae
v03183	13/27	55.23	Aliceevansviridae
v03197	42/48	87.75	Peduoviridae
v03215	14/76	36.02	Winoviridae
v03235	12/55	40.55	Aliceevansviridae
v03239	12/53	38.27	Aliceevansviridae
v03257	11/194	40.90	Herelleviridae
v03269	21/247	45.47	Herelleviridae
v03271	38/41	92.07	Peduoviridae
v03294	44/49	93.00	Peduoviridae
v03317	6/9	94.48	Inoviridae
v03331	13/75	41.62	Herelleviridae
v03342	9/40	51.56	Aliceevansviridae
v03354	8/8	51.85	Microviridae
v03368	8/12	86.06	Microviridae
v03378	14/59	56.37	Peduoviridae
v03379	40/42	91.35	Peduoviridae
v03390	3/5	33.23	Microviridae
v03393	4/7	38.55	Microviridae
v03402	11/45	43.28	Peduoviridae
v03412	2/7	30.95	Salasmaviridae
v03430	7/10	95.54	Inoviridae
v03431	3/15	45.60	Inoviridae
v03433	4/9	64.95	Inoviridae
v03442	3/14	44.73	Inoviridae
v03445	7/8	82.23	Inoviridae
v03448	5/8	78.18	Inoviridae
v03452	8/13	98.08	Inoviridae
v03454	3/14	44.70	Inoviridae
v03458	6/19	76.73	Inoviridae
v03462	3/14	45.73	Inoviridae
v03479	3/15	46.93	Inoviridae
v03492	3/14	44.20	Inoviridae
v03506	2/10	55.15	Inoviridae
v03532	11/48	41.11	Aliceevansviridae
v03533	25/54	43.45	Peduoviridae
v03535	5/7	48.94	Microviridae
v03539	5/9	65.00	Microviridae
v03542	6/8	89.18	Microviridae
v03545	2/9	42.10	Phycodnaviridae
v03555	36/47	92.40	Peduoviridae
v03558	10/68	37.40	Aliceevansviridae
v03559	37/40	94.66	Peduoviridae
v03567	11/71	39.63	Aliceevansviridae
v03569	5/9	52.96	Microviridae
v03578	21/50	45.26	Autographiviridae
v03585	10/77	41.77	Aliceevansviridae
v03588	34/37	76.08	Peduoviridae
v03592	34/36	93.07	Peduoviridae
v03593	10/73	47.67	Aliceevansviridae
v03601	16/228	44.16	Herelleviridae
v03603	37/43	95.06	Peduoviridae
v03605	25/32	68.99	Peduoviridae
v03607	8/28	40.50	Aliceevansviridae
v03615	3/8	42.83	Microviridae
v03634	11/64	37.69	Aliceevansviridae
v03642	8/29	38.73	Winoviridae
v03646	4/9	38.15	Microviridae
v03647	10/53	41.56	Aliceevansviridae
v03654	5/7	70.84	Microviridae
v03656	4/11	34.27	Microviridae
v03658	33/36	90.72	Peduoviridae
v03670	5/12	51.74	Microviridae
v03673	11/50	46.39	Aliceevansviridae
v03674	16/228	39.49	Herelleviridae
v03682	39/44	78.38	Peduoviridae
v03687	15/239	40.55	Herelleviridae
v03694	10/50	36.39	Winoviridae
v03695	10/52	42.22	Winoviridae
v03698	26/31	94.82	Peduoviridae
v03700	44/49	92.46	Peduoviridae
v03708	33/38	91.19	Peduoviridae
v03719	8/40	47.04	Aliceevansviridae
v03723	7/31	43.56	Aliceevansviridae
v03726	39/41	74.31	Peduoviridae
v03727	10/69	41.08	Peduoviridae
v03737	36/46	87.02	Peduoviridae
v03760	10/51	42.70	Aliceevansviridae
v03767	17/250	41.36	Herelleviridae
v03770	13/44	36.00	Winoviridae
v03773	12/63	41.99	Aliceevansviridae
v03784	2/4	44.85	Microviridae
v03818	5/9	60.16	Microviridae
v03831	36/46	88.04	Peduoviridae
v03832	35/39	88.94	Peduoviridae
v03843	4/6	38.45	Microviridae
v03852	41/49	91.57	Peduoviridae
v03868	4/7	38.38	Microviridae
v03871	5/6	90.34	Microviridae
v03880	35/36	81.84	Peduoviridae
v03883	34/44	73.74	Peduoviridae
v03885	19/250	39.56	Herelleviridae
v03888	37/47	78.92	Peduoviridae
v03892	34/43	96.39	Peduoviridae
v03929	6/8	93.52	Inoviridae
v03933	6/8	93.25	Inoviridae
v03936	7/11	94.59	Inoviridae
v03953	6/9	93.47	Inoviridae
v03962	7/29	32.79	Aliceevansviridae
v03975	11/61	38.95	Aliceevansviridae
v03976	23/48	50.70	Aliceevansviridae
v03978	36/50	87.74	Peduoviridae
v03979	16/64	44.35	Aliceevansviridae
v03980	10/82	47.88	Peduoviridae
v03982	21/230	40.93	Herelleviridae
v03991	13/80	43.01	Aliceevansviridae
v03996	33/51	54.95	Peduoviridae
v04002	27/36	55.86	Peduoviridae
v04005	18/106	44.91	Aliceevansviridae
v04009	39/46	79.18	Peduoviridae
v04010	2/10	35.75	Aliceevansviridae
v04011	4/14	42.38	Aliceevansviridae
v04014	12/98	46.11	Drexlerviridae
v04018	23/31	68.85	Peduoviridae
v04022	10/58	40.50	Aliceevansviridae
v04030	40/50	88.29	Peduoviridae
v04045	11/49	47.75	Aliceevansviridae
v04053	5/7	46.50	Microviridae
v04063	14/200	39.09	Herelleviridae
v04065	42/47	94.45	Peduoviridae
v04075	31/36	94.11	Peduoviridae
v04077	29/50	53.87	Peduoviridae
v04078	6/29	36.97	Casjensviridae
v04084	13/55	47.55	Aliceevansviridae
v04085	51/57	83.59	Aliceevansviridae
v04087	58/66	77.80	Aliceevansviridae
v04089	13/199	38.45	Herelleviridae
v04100	10/58	45.33	Aliceevansviridae
v04118	32/34	90.35	Peduoviridae
v04125	17/244	42.95	Herelleviridae
v04127	10/93	43.07	Aliceevansviridae
v04143	29/219	37.96	Herelleviridae
v04148	6/6	81.53	Microviridae
v04154	6/7	69.23	Microviridae
v04155	9/44	41.66	Aliceevansviridae
v04161	19/193	44.08	Herelleviridae
v04171	37/40	93.14	Peduoviridae
v04172	14/94	40.49	Aliceevansviridae
v04175	6/19	90.22	Microviridae
v04176	14/146	42.16	Herelleviridae
v04177	13/245	42.97	Herelleviridae
v04180	16/61	47.02	Aliceevansviridae
v04191	6/8	96.62	Microviridae
v04200	6/16	42.87	Aliceevansviridae
v04215	13/244	39.91	Herelleviridae
v04223	11/47	50.93	Aliceevansviridae
v04224	10/46	43.07	Aliceevansviridae
v04254	12/58	39.96	Aliceevansviridae
v04280	7/8	56.40	Microviridae
v04283	29/30	58.16	Peduoviridae
v04289	8/40	57.49	Aliceevansviridae
v04295	19/251	37.96	Herelleviridae
v04300	8/39	39.99	Aliceevansviridae
v04304	18/223	38.74	Herelleviridae
v04307	13/199	40.57	Herelleviridae
v04324	16/215	40.98	Herelleviridae
v04325	7/11	86.83	Inoviridae
v04332	14/213	38.74	Herelleviridae
v04339	13/238	41.62	Herelleviridae
v04343	11/89	39.80	Aliceevansviridae
v04344	10/73	40.29	Herelleviridae
v04360	6/22	46.17	Aliceevansviridae
v04372	11/90	42.98	Aliceevansviridae
v04376	10/47	39.12	Aliceevansviridae
v04385	26/231	40.91	Herelleviridae
v04387	10/165	42.30	Herelleviridae
v04392	12/80	42.22	Aliceevansviridae
v04394	17/245	42.60	Herelleviridae
v04401	4/11	82.28	Inoviridae
v04408	21/232	41.39	Herelleviridae
v04410	13/108	40.04	Herelleviridae
v04419	9/40	34.93	Winoviridae
v04424	11/54	38.03	Aliceevansviridae
v04428	2/10	33.75	Microviridae
v04443	18/234	37.62	Herelleviridae
v04445	12/298	40.17	Herelleviridae
v04446	11/111	37.75	Aliceevansviridae
v04447	19/157	36.51	Herelleviridae
v04457	10/237	37.90	Herelleviridae
v04460	10/129	42.32	Herelleviridae
v04465	25/244	40.92	Herelleviridae
v04469	12/214	38.28	Herelleviridae
v04472	19/214	45.15	Herelleviridae
v04484	10/49	30.77	Winoviridae
v04494	5/25	46.60	Autographiviridae
v04496	19/243	39.30	Herelleviridae
v04503	10/60	42.77	Aliceevansviridae
v04505	24/312	38.52	Herelleviridae
v04507	6/8	89.80	Inoviridae
v04510	11/212	42.97	Herelleviridae
v04512	11/64	40.83	Aliceevansviridae
v04515	3/12	37.13	Inoviridae
v04519	11/51	47.63	Aliceevansviridae
v04520	9/45	42.80	Aliceevansviridae
v04533	13/52	46.52	Aliceevansviridae
v04547	13/54	47.58	Aliceevansviridae
v04558	19/24	92.39	Peduoviridae
v04565	15/106	39.84	Aliceevansviridae
v04574	4/15	44.10	Aliceevansviridae
v04586	13/254	37.68	Herelleviridae
v04589	36/57	69.26	Aliceevansviridae
v04592	35/57	55.79	Aliceevansviridae
v04593	38/43	87.19	Peduoviridae
v04595	10/51	45.31	Peduoviridae
v04609	39/50	95.41	Peduoviridae
v04611	43/66	95.41	Peduoviridae
v04614	29/227	38.22	Herelleviridae
v04619	32/50	52.83	Aliceevansviridae
v04620	11/58	40.11	Aliceevansviridae
v04626	18/224	42.42	Herelleviridae
v04627	11/60	41.07	Aliceevansviridae
v04630	10/40	40.41	Aliceevansviridae
v04633	10/75	37.25	Peduoviridae
v04635	15/104	39.97	Aliceevansviridae
v04637	4/10	52.48	Inoviridae
v04647	10/73	44.95	Aliceevansviridae
v04649	5/6	56.74	Microviridae
v04664	7/7	85.57	Microviridae
v04665	13/85	38.76	Aliceevansviridae
